(Contribution||has||Experiments)
(Experiments||hyperparameters||discriminator)
(discriminator||use||shallow neural network)
(shallow neural network||with||one hidden layer)
(discriminator||use||logistic regression)
(logistic regression||for||language modeling and machine translation)
(Experiments||tasks||Text Classification)
(Text Classification||baseline||Recurrent CNN-based model)
(Text Classification||dataset||AG's news corpus (AGs))
(Text Classification||dataset||IMDB movie review dataset (IMDB))
(Text Classification||dataset||20 Newsgroups (20NG))
(Experiments||tasks||Machine Translation)
(Machine Translation||two datasets||WMT14 English-German)
(Machine Translation||two datasets||IWSLT14 German-English datasets)
(Machine Translation||baseline||Transformer)
(Experiments||tasks||Language Modeling)
(Language Modeling||baselines||AWD-LSTM model)
(Language Modeling||baselines||AWD-LSTM-MoS model)
(Language Modeling||has description||predict the next word conditioned on previous words)
(Language Modeling||datasets||Penn Treebank (PTB))
(Language Modeling||datasets||WikiText-2 (WT2))
(Experiments||tasks||Word Similarity)
(Word Similarity||has description||evaluates whether the most similar words of a given word in the embedding space are consistent with the ground-truth)
(Word Similarity||three datasets||RG65)
(Word Similarity||three datasets||WS)
(Word Similarity||three datasets||RW)
(Word Similarity||baseline||skip-gram model)
