(Contribution||has||Hyperparameters)
(Hyperparameters||gradient clipping||5.0)
(Hyperparameters||learning rate||0.01)
(Hyperparameters||for||stack-LSTM model)
(stack-LSTM model||uses||two layers)
(two layers||for||each stack)
(two layers||dimension||100)
(stack-LSTM model||embeddings of actions||used)
(used||in||composition functions)
(stack-LSTM model||embeddings of actions||output embedding)
(output embedding||dimension||20)
(stack-LSTM model||embeddings of actions||dimensions)
(dimensions||each||16)
(Hyperparameters||for||LSTM-CRF model)
(LSTM-CRF model||uses||single layer for the forward and backward LSTMs)
(single layer for the forward and backward LSTMs||dimensions||100)
(LSTM-CRF model||dropout rate||0.5)
(Hyperparameters||train||networks)
(networks||using||back-propagation algorithm)
(networks||updating||parameters)
(parameters||using||stochastic gradient descent (SGD))
