(Contribution||has||Experimental Settings)
(Experimental Settings||hyperparameters||L2 regularization parameter)
(L2 regularization parameter||set to||0.001)
(Experimental Settings||hyperparameters||Adam optimizer (Kingma and Ba, 2014))
(Adam optimizer (Kingma and Ba, 2014)||with||initial learning rate)
(initial learning rate||of||0.001)
(Adam optimizer (Kingma and Ba, 2014)||with||decay rate)
(decay rate||of||0.97)
(Experimental Settings||hyperparameters||gradients)
(gradients||clipped at||3)
(Experimental Settings||hyperparameters||dropout)
(dropout||applied to||embedding hidden states)
(embedding hidden states||with||rate of 0.5)
(Experimental Settings||hyperparameters||batch size)
(batch size||of||10)
(Experimental Settings||hyperparameters||initialize)
(initialize||word embeddings||GloVe (Pennington et al., 2014))
(GloVe (Pennington et al., 2014)||embeddings||300 dimensional)
(Experimental Settings||conducted using||GeForce GTX 1080 GPU)
(GeForce GTX 1080 GPU||with||8GB memory)
