unsupervised NMT	1
Language Modeling	2
words and entity types	1
BERTLARGE significantly outperforms BERTBASE across all tasks	1
efficient graph convolution operations	1
more complex pre-processing techniques	1
local region K2 x C	1
phrase-based SMT	1
GCN model outperforms all dependency-based models	1
10-5	1
10-3	1
used to initialize word vectors for all three datasets	1
all three proposed dynamic routing strategies	1
470K steps	1
core NLP tasks	1
RaSoR	1
+1.92 F1	1
both ensembles of averaged models	1
dependency structure over the input sentence	1
Binary phrase level sentiment classification	1
democratize large-scale NLP and information extraction while minimizing our environmental footprint	1
each word vector	1
strict evaluation metric	1
batch size and learning rate scheduling	1
bigrams	1
Fully Connected Capsule Layer	1
Word pairs from the psychology literature on implicit association tests (IAT) that are used to characterize model bias	1
weak supervision	1
https://github.com/datquocnguyen/jointRE	1
3	3
model with a better quality	1
4	6
EBMNLP (Nye et al., 2018)	1
5	1
position information of a word in the entity	1
8	1
extension of graph convolutional networks that is tailored for relation extraction, which pools information over arbitrary dependency structures efficiently in parallel	1
Path-centric Pruning	1
bidirectional sequential LSTM (BiLSTM) layer	1
English-to-French translation	1
loss-free compression rate	1
OntoNotes	2
Removing label embeddings did not affect the entity detection performance, but this degraded the recall in relation classification.	1
n-gram functionality	1
simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely	1
Neural network approaches to Named-Entity Recognition	1
than the state-of-the-art model	1
1000	4
Stack-LSTM model also outperforms all previous models	1
word-level systems	1
result	1
orthographic sensitivity	1
semi-supervised approach	1
Extractive Question Ansering	1
a pre-trained biomedical language representation model	1
other CNN baseline methods with much deeper architectures	1
Matching two potentially heterogenous language objects	1
test set F1	2
SemEval 2018 Task 7	1
joint vector space	1
computer science tasks	1
single machine	2
movie review dataset	1
all Reverb facts	1
corpus of 840bn words	1
+5.1 F1 improvement	1
building a deep topology	1
semantic matching vector	2
overall improvement of ~1%	1
MCTest	1
novel recurrent neural model	1
best results	2
recurrent layer (specifically an LSTM (Hochreiter and Schmidhuber, 1997))	1
feature generator	1
results in	1
single recurrent unit	1
batch of sequences	1
multi-GPU setup	1
scalable and effective solution	1
DeepMatch	1
CoVe	1
local-3 function	1
GloVe embeddings	3
our ACNN framework	1
10k steps	1
DRNNs	1
1.31 bits/character on the test set	1
range [-0.01, 0.01]	1
take the whole sentence as input (with word embedding aligned sequentially), and use an MLP to obtain the score of coherence	1
input embeddings	2
neural architectures for NER	1
11 NLP tasks	1
TensorFlow (Abadi et al., 2018)	1
fixing vectors	1
improves performance	1
L2 regularization parameter	1
endpoint prediction model	1
Dialog	1
neural attention-based multiple context fixing attachment (MCFA)	1
weighted sum of the values, where the weight assigned to each value is computed by a compatibility function of the query with the corresponding key	1
pre-trained 100-D Glove 6B vectors	1
whole sentence as single state	1
new type of general purpose neural network component	1
Bi-LSTM with local decoding and one with CRF decoding	1
an absolute gain of 1.68 and 0.96 points respectively	1
instantiated parameters	1
any neural NER system	1
In this paper, we present a novel end-to-end neural model for joint entity and relation extraction.	1
When predicting multiple relations in one-pass, we have 0.9% drop on Macro-F1	1
both fine-tuning and feature-based approaches	1
VC-CNN	1
chain structured graphical model	1
reduce the number of parameters used in word embeddings without hurting the model performance	1
600	1
version of GNMT that uses word-pieces	1
each trigger through time	1
LSTM-LSTM model is better than LSTM-CRF model	1
less sensitive to changes in the tree structures provided	1
win-3 with 4-gram filters	1
jointly on different data sources via multitasking	1
Constrained English-Estonian and Estonian-English NMT systems	1
Ablation Study	1
more than 2.0 BLEU	1
S-ACNN significantly outperforms S-CNN	1
natural language understanding	4
each model twice	1
our model outperforms the previous shortest dependency path-based model (SDP-LSTM)	1
bag of n-grams	1
Convolutional Capsule Layer	1
