(Contribution||has||Experimental Settings)
(Experimental Settings||using||cnn library)
(cnn library||implemented||model)
(Experimental Settings||using||Stanford neural dependency parser)
(Stanford neural dependency parser||parsed||texts)
(Experimental Settings||from sentence||We implemented our model using the cnn library. We parsed the texts using the Stanford neural dependency parser (Chen and Manning, 2014) with the original Stanford Dependencies)
(Experimental Settings||from sentence||Based on preliminary tuning, we fixed embedding dimensions nw to 200, np, nd, ne to 25, and dimensions of intermediate layers (nls , nlt of LSTM-RNNs and nhe , nhr of hidden layers) to 100.)
(Experimental Settings||fixed||dimensions of intermediate layers)
(dimensions of intermediate layers||to||100)
(Experimental Settings||fixed||embedding dimensions)
(embedding dimensions||np, nd, ne||25)
(embedding dimensions||nw||200)
(Experimental Settings||initialized||word vectors)
(word vectors||via||word2vec (Mikolov et al., 2013))
(Experimental Settings||from sentence||We initialized word vectors via word2vec (Mikolov et al., 2013) trained onWikipedia8 and randomly initialized all other parameters.)
