4 percent absolute on validation and 3.4 on test	1
standard CNN model	1
training from scratch	1
Language Modeling	6
words and entity types	1
accuracy	2
models that do not make use of transfer learning	1
5 groups of filters	5
more complex pre-processing techniques	1
local region K2 x C	1
GCN model outperforms all dependency-based models	1
all three proposed dynamic routing strategies	1
core NLP tasks	5
biases	1
RaSoR	1
dependency structure over the input sentence	1
new state-of-the-art performance	1
convolutions in the decoder CNN	1
each word vector	1
AE	3
batch size and learning rate scheduling	1
Fully Connected Capsule Layer	1
is done	1
AG	1
each input word	1
BERTSP with entity indicators on input layer	1
NewsTest 2015	1
NewsTest 2014	2
dilation rates	1
LSTM-LSTM (Vaswani et al., 2016)	1
Path-centric Pruning	4
OntoNotes	4
single LSTM layer	1
WSJ dataset	1
n-gram functionality	1
Shortest Dependency Path LSTM (SDP-LSTM) (Xu et al., 2015b)	1
1000	1
when, and why, simple pooling strategies	2
Stack-LSTM model also outperforms all previous models	1
result	2
"next sentence prediction" task	1
semi-supervised approach	2
other CNN baseline methods with much deeper architectures	1
Prediction accuracies vs. increasing K	2
Impact of pretraining	1
test set F1	2
SemEval 2018 Task 7	6
joint vector space	1
computer science tasks	1
best hyperparameters	2
pre-training	2
decreased	1
movie review dataset	1
RNN Encoder-Decoder	9
all Reverb facts	1
82%	1
+5.1 F1 improvement	1
building a deep topology	1
MR data set	1
CR	1
target word	1
semantic matching vector	2
DS-Joint (Li and Ji, 2014)	1
novel recurrent neural model	1
best results	1
recurrent layer (specifically an LSTM (Hochreiter and Schmidhuber, 1997))	1
non-dilated CNN architecture with the same number of convolutional layers	1
feature generator	1
results in	1
single recurrent unit	1
batch of sequences	1
multi-GPU setup	1
scalable and effective solution	1
DeepMatch	1
initialize	1
GloVe embeddings	3
Our NSE models outperformed the previous state-of-the-art models	1
all three models are less effective	1
input embeddings	1
Batch sizes	2
11 NLP tasks	11
achieves	1
dependency view	1
improves performance	1
L2 regularization parameter	1
all the words	1
entire input sequence	1
endpoint prediction model	1
Dialog	1
neural attention-based multiple context fixing attachment (MCFA)	1
whole sentence as single state	1
new type of general purpose neural network component	1
Bi-LSTM with local decoding and one with CRF decoding	1
helped	1
instantiated parameters	2
third sub-layer	1
at least +5.01 BLEU points	1
directional self-attention	1
mini-batch	2
other models	1
exotic character combination	1
recurrent computation	1
BioBERT v1.0 (+ PubMed + PMC)	1
LSTM-LSTM model is better than LSTM-CRF model	1
Transformer	4
a matrix	1
Constrained English-Estonian and Estonian-English NMT systems	2
two ways	2
Ablation Study	1
