(Contribution||has||Experimental Setup)
(Experimental Setup||implemented with||TensorFlow (Abadi et al., 2016))
(Experimental Setup||for||document classification experiments)
(document classification experiments||randomly initialize||word embeddings)
(word embeddings||within||[-0.001, 0.001])
(word embeddings||update||during training)
(document classification experiments||minibatch size||128)
(document classification experiments||set||window size)
(window size||with||K = 100 feature maps)
(window size||as||h = 5)
(document classification experiments||dropout rate||0.2)
(document classification experiments||utilized||one-layer architecture)
(one-layer architecture||for||both the CNN baseline and the ACNN model)
(Experimental Setup||for||sentence matching tasks)
(sentence matching tasks||use||Adam (Kingma and Ba, 2014))
(Adam (Kingma and Ba, 2014)||with||learning rate)
(learning rate||of||3 x10-4)
(Adam (Kingma and Ba, 2014)||to train||models)
(sentence matching tasks||initialized||word embeddings)
(word embeddings||with||50-dimensional Glove (Pennington et al., 2014) word vectors)
(50-dimensional Glove (Pennington et al., 2014) word vectors||pretrained from||Wikipedia 2014 and Gigaword 5 (Pennington et al., 2014))
(sentence matching tasks||filters||set)
(set||window size||with)
(with||K = 300||feature maps)
(set||window size||as)
(as||h||5)
(sentence matching tasks||Dropout||rate of 0.5)
(rate of 0.5||employed on||word embedding layer)
(Experimental Setup||trained using||one NVIDIA GeForce GTX TITAN X GPU)
(one NVIDIA GeForce GTX TITAN X GPU||with||12GB memory)
