(Contribution||has||Model)
(Model||called||Universal Language Model Fine-tuning (ULMFiT))
(Universal Language Model Fine-tuning (ULMFiT)||enables||robust inductive transfer learning)
(robust inductive transfer learning||for||any NLP task)
(Model||propose||discriminative fine-tuning)
(Model||propose||slanted triangular learning rates)
(Model||propose||gradual unfreezing)
(Model||propose||novel techniques)
(novel techniques||to retain||previous knowledge)
(novel techniques||avoid||catastrophic forgetting)
(catastrophic forgetting||during||fine-tuning)
