(Contribution||has||Hyperparameters)
(Hyperparameters||conduct||mini-batch)
(mini-batch||with||size 50)
(size 50||for||AG's news)
(mini-batch||with||size 25)
(size 25||for||other datasets)
(Hyperparameters||use||300-dimensional word2vec (Mikolov et al., 2013) vectors)
(300-dimensional word2vec (Mikolov et al., 2013) vectors||to initialize||embedding vectors)
(Hyperparameters||use||Adam optimization algorithm)
(Adam optimization algorithm||with||1e-3 learning rate)
(1e-3 learning rate||to train||model)
(Hyperparameters||use||3 iterations of routing)
(3 iterations of routing||for||all datasets)
