(Contribution||has||Results)
(Results||substantially and consistently outperforms||simple deep neural networks)
(simple deep neural networks||such as||LSTM)
(simple deep neural networks||such as||Bi-LSTM)
(simple deep neural networks||such as||CNN-rand)
(Results||achieves competitive results against||more sophisticated deep learning models)
(more sophisticated deep learning models||such as||LR-LSTM)
(more sophisticated deep learning models||such as||Tree-LSTM)
(more sophisticated deep learning models||such as||VC-CNN)
(more sophisticated deep learning models||such as||CL-CNN)
(Results||on||4 out of 6 benchmarks)
(4 out of 6 benchmarks||achieve best results||capsule networks)
